Country Name,Date,"Transit: Railways, (million passenger-km)","Transit: Passenger cars (per 1,000 people)",Business: Mobile phone subscribers,Business: Internet users (per 100 people),"Health: Mortality, under-5 (per 1,000 live births)",Health: Health expenditure per capita (current US$),"Health: Health expenditure, total (% GDP)",Population: Total (count),Population: Urban (count),"Population:: Birth rate, crude (per 1,000)","Health: Life expectancy at birth, female (years)","Health: Life expectancy at birth, male (years)","Health: Life expectancy at birth, total (years)",Population: Ages 0-14 (% of total),Population: Ages 15-64 (% of total),Population: Ages 65+ (% of total),Finance: GDP (current US$),Finance: GDP per capita (current US$),Destinations,Sources
Cameroon,7/1/2000,327,,"103,279",0,148,27,5,"15,678,269","7,823,456",38,51,49,50,43,54,4,"10,075,040,331",643,"[('Chad', '35126'), ('Gabon', '23481'), ('Nigeria', '16735')]","[('Nigeria', '72187'), ('Chad', '65397'), ('Congo, Dem. Rep.', '15382')]"
Canada,7/1/2000,,,"8,727,000",51,6,"2,082",9,"30,769,700","24,461,912",11,82,77,79,19,68,13,"724,918,860,683","23,560","[('United States', '950549'), ('United Kingdom', '76106'), ('France', '31846')]","[('United Kingdom', '606723'), ('China', '336302'), ('India', '313999')]"
Cape Verde,7/1/2000,,,"19,729",2,46,57,5,"437,238","233,485",29,74,65,69,42,53,5,"539,227,053","1,233","[('Portugal', '43032'), ('United States', '27182'), ('Mozambique', '17363')]","[('Sao Tome and Principe', '3433'), ('Angola', '2209'), ('Portugal', '1810')]"
Cayman Islands,7/1/2000,,,"10,700",,,,,"40,195","40,195",,,,,,,,,,"[('United States', '1012'), ('Canada', '136'), ('Puerto Rico', '80')]","[('Jamaica', '10628'), ('United States', '3031'), ('United Kingdom', '2344')]"
Central African Republic,7/1/2000,,,"4,967",0,176,10,4,"3,701,607","1,391,804",39,45,42,44,42,54,4,"959,413,051",259,"[('Chad', '9142'), ('Sudan', '2847'), ('Congo, Dem. Rep.', '1979')]","[('Chad', '9103'), ('Congo, Dem. Rep.', '4724'), ('Cameroon', '1565')]"
Chad,7/1/2000,,,"5,500",0,190,10,6,"8,222,327","1,924,025",48,50,47,48,46,51,3,"1,385,050,964",168,"[('Cameroon', '65397'), ('Nigeria', '18127'), ('Sudan', '12323')]","[('Cameroon', '35126'), ('Nigeria', '16799'), ('Sudan', '10800')]"
Channel Islands,7/1/2000,,,,,,,,"145,330","44,326",11,80,75,78,17,69,15,"6,439,703,435","44,311","[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]","[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]"
Chile,7/1/2000,737,,"3,401,525",17,11,324,7,"15,419,820","13,245,625",17,80,74,77,28,65,7,"75,210,511,780","4,878","[('Argentina', '219104'), ('United States', '85597'), ('Sweden', '26547')]","[('Argentina', '45713'), ('Peru', '35416'), ('Bolivia', '10556')]"
China,7/1/2000,"441,468",,"85,260,000",2,33,44,5,"1,262,645,000","452,026,910",14,73,70,71,25,68,7,"1,198,474,934,199",949,"[('Hong Kong SAR, China', '2164744'), ('United States', '1016412'), ('Singapore', '348383')]","[('Korea, Rep.', '47152'), ('Korea, Dem. Rep.', '40337'), ('Philippines', '17828')]"
Colombia,7/1/2000,,,"2,256,801",2,27,161,7,"39,764,166","28,669,964",23,75,67,71,33,62,5,"100,363,791,871","2,524","[('Venezuela, RB', '617744'), ('United States', '533019'), ('Spain', '140748')]","[('Venezuela, RB', '37169'), ('United States', '15062'), ('Ecuador', '11366')]"
Comoros,7/1/2000,,,0,0,104,10,3,"562,469","158,054",40,59,56,58,41,56,3,"201,900,820",359,"[('Mayotte', '29800'), ('Madagascar', '7378'), ('United Kingdom', '4902')]","[('Madagascar', '11403'), ('Mayotte', '1010'), ('France', '573')]"
"Congo, Dem. Rep.",7/1/2000,94,,"15,000",0,181,11,4,"49,626,200","14,788,608",49,47,44,46,48,49,3,"4,305,797,176",87,"[('Rwanda', '288278'), ('Uganda', '86624'), ('Sudan', '53612')]","[('France', '51717'), ('Belgium', '34358'), ('United Kingdom', '29360')]"
"Congo, Rep.",7/1/2000,84,,"70,000",0,104,22,2,"3,135,773","1,828,156",38,55,53,54,42,55,4,"3,219,893,817","1,027","[('South Africa', '7316'), ('Gabon', '7284'), ('Zimbabwe', '4819')]","[('Congo, Dem. Rep.', '13781'), ('Central African Republic', '1739'), ('Angola', '1693')]"
Costa Rica,7/1/2000,,,"211,614",6,13,265,7,"3,919,180","2,312,316",20,80,75,78,31,63,5,"15,946,443,261","4,069","[('United States', '76623'), ('Nicaragua', '5469'), ('Panama', '4735')]","[('Nicaragua', '226582'), ('Panama', '10279'), ('United States', '9520')]"
Cote d'Ivoire,7/1/2000,126,,"472,952",0,148,30,5,"16,581,653","7,213,019",37,51,49,50,42,55,3,"10,417,006,096",628,"[('Burkina Faso', '418038'), ('Mali', '74193'), ('Italy', '12381')]","[('Burkina Faso', '1252098'), ('Mali', '444425'), ('Guinea', '129807')]"
Croatia,7/1/2000,"1,252",,"1,033,000",7,8,375,8,"4,426,000","2,460,856",10,77,69,73,17,67,16,"21,517,784,659","4,862","[('Germany', '224721'), ('Austria', '85547'), ('United States', '58970')]","[('Bosnia and Herzegovina', '459328'), ('Serbia and Montenegro', '87639'), ('Slovenia', '22177')]"
Cuba,7/1/2000,,,"6,536",1,9,184,7,"11,104,313","8,394,861",13,78,74,76,22,69,10,"30,565,200,000","2,753","[('United States', '894560'), ('Spain', '40965'), ('United Kingdom', '18288')]","[('Spain', '5209'), ('Russian Federation', '2186'), ('Haiti', '1005')]"
Curacao,7/1/2000,,,,,,,,"133,860",,,,,,,,,,,[],[]
Cyprus,7/1/2000,,,"218,324",15,7,740,6,"943,294","647,100",13,80,76,78,22,67,10,"9,314,937,556","13,422","[('United Kingdom', '79291'), ('France', '29024'), ('Australia', '19299')]","[('United Kingdom', '16800'), ('Greece', '10857'), ('Georgia', '6945')]"
Czech Republic,7/1/2000,"7,266",,"4,346,009",10,7,362,7,"10,272,322","7,601,518",9,78,72,75,17,70,14,"58,807,244,368","5,725","[('Germany', '402366'), ('France', '220766'), ('Slovak Republic', '74910')]","[('Slovak Republic', '287874'), ('Ukraine', '33595'), ('Poland', '24924')]"
Denmark,7/1/2000,"5,381",,"3,363,552",39,6,"2,474",8,"5,339,616","4,544,013",13,79,74,77,19,67,15,"160,082,517,846","29,980","[('Sweden', '37783'), ('United States', '33156'), ('France', '26958')]","[('Turkey', '29369'), ('Bosnia and Herzegovina', '28233'), ('Germany', '26565')]"
Djibouti,7/1/2000,,,230,0,106,44,6,"731,930","609,698",32,55,52,54,41,56,3,"551,230,862",753,"[('Ethiopia', '1513'), ('United Kingdom', '919'), ('Canada', '486')]","[('Somalia', '41968'), ('Ethiopia', '25437'), ('Eritrea', '3259')]"
Dominica,7/1/2000,,,"1,200",9,15,237,6,"69,672","49,537",,,,,,,,"328,735,890","4,718","[('United States', '17967'), ('Guadeloupe', '6275'), ('Virgin Islands (U.S.)', '4919')]","[('Guadeloupe', '846'), ('United Kingdom', '352'), ('United States', '348')]"
Dominican Republic,7/1/2000,,,"705,431",4,41,170,6,"8,591,967","5,361,387",25,73,69,71,35,60,5,"23,996,656,676","2,793","[('United States', '706894'), ('Spain', '35587'), ('Italy', '17851')]","[('Haiti', '228274'), ('Venezuela, RB', '17358'), ('United States', '11114')]"
Ecuador,7/1/2000,,,"482,213",1,33,54,4,"12,345,023","7,444,049",25,76,71,73,34,61,5,"15,941,641,913","1,291","[('United States', '302705'), ('Spain', '176212'), ('Venezuela, RB', '29027')]","[('Colombia', '50510'), ('United States', '10824'), ('Peru', '5090')]"
"Egypt, Arab Rep.",7/1/2000,"34,960",,"1,359,900",1,47,76,5,"67,648,419","28,818,226",26,71,67,69,36,60,4,"99,838,540,997","1,476","[('Saudi Arabia', '980205'), ('Libya', '318394'), ('United Arab Emirates', '133986')]","[('West Bank and Gaza', '41067'), ('Sudan', '15809'), ('Germany', '9983')]"
El Salvador,7/1/2000,,,"743,628",1,34,176,8,"5,940,305","3,469,138",25,75,65,70,38,56,6,"13,134,147,768","2,211","[('United States', '827583'), ('Canada', '38167'), ('Guatemala', '11854')]","[('Honduras', '8802'), ('Guatemala', '6698'), ('Nicaragua', '5896')]"
Equatorial Guinea,7/1/2000,,,"5,000",0,152,42,2,"520,380","201,907",40,50,47,49,43,54,4,"1,254,223,037","2,410","[('Gabon', '38709'), ('Spain', '10778'), ('Nigeria', '3153')]","[('Cameroon', '1863'), ('Spain', '741'), ('Nigeria', '609')]"
Eritrea,7/1/2000,,,0,0,93,9,5,"3,667,576","652,829",38,58,54,56,45,53,2,"633,600,000",173,"[('Ethiopia', '255018'), ('Saudi Arabia', '30072'), ('United States', '17438')]","[('Uganda', '2854'), ('Sudan', '1667'), ('Congo, Dem. Rep.', '1335')]"
Estonia,7/1/2000,261,,"557,000",29,13,220,5,"1,369,515","950,443",10,76,65,70,18,67,15,"5,675,174,662","4,144","[('Russian Federation', '67402'), ('Germany', '42892'), ('Finland', '31597')]","[('Russian Federation', '190599'), ('Ukraine', '25185'), ('Belarus', '14883')]"
Ethiopia,7/1/2000,,,"17,757",0,141,5,4,"65,577,897","9,771,107",42,53,50,52,46,51,3,"8,179,533,779",125,"[('United States', '71578'), ('Israel', '66967'), ('Djibouti', '25437')]","[('Eritrea', '255018'), ('Somalia', '101938'), ('Rwanda', '12420')]"
Faeroe Islands,7/1/2000,,,"16,971",33,,,,"45,743","16,605",,81,76,79,,,,"1,062,339,944","23,224","[('Denmark', '9914'), ('France', '2665'), ('Norway', '921')]","[('Iceland', '411'), ('Norway', '216'), ('Poland', '202')]"
Fiji,7/1/2000,,,"55,057",1,23,85,4,"811,718","392,060",25,70,65,68,35,62,3,"1,684,109,743","2,075","[('Australia', '43695'), ('United States', '31505'), ('New Zealand', '25402')]","[('India', '4531'), ('Australia', '1526'), ('New Zealand', '1428')]"
Finland,7/1/2000,"3,405",,"3,728,625",37,4,"1,692",7,"5,176,209","3,162,664",11,81,74,77,18,67,15,"121,793,808,734","23,530","[('Sweden', '193364'), ('France', '79086'), ('United States', '23608')]","[('Estonia', '31597'), ('Sweden', '28981'), ('Russian Federation', '10527')]"
France,7/1/2000,"69,860",,"29,052,360",14,5,"2,184",10,"60,910,922","46,170,479",13,83,75,79,19,65,16,"1,326,334,899,576","21,775","[('United States', '198061'), ('Spain', '126435'), ('United Kingdom', '116631')]","[('Algeria', '1057135'), ('Poland', '800387'), ('Tunisia', '310949')]"
French Polynesia,7/1/2000,,,"39,900",6,,,,"237,638","124,522",20,75,70,72,33,63,4,"3,447,543,138","14,508","[('United States', '7709'), ('New Caledonia', '3514'), ('France', '477')]","[('France', '21581'), ('New Caledonia', '2934'), ('South Africa', '709')]"
Gabon,7/1/2000,88,,"120,000",1,88,103,2,"1,235,274","989,454",31,61,59,60,41,54,5,"5,067,838,984","4,103","[('Mali', '4543'), ('Ghana', '4040'), ('Germany', '1228')]","[('Equatorial Guinea', '38709'), ('Mali', '26445'), ('Benin', '25017')]"
"Gambia, The",7/1/2000,,,"5,600",1,128,19,6,"1,297,084","636,868",44,56,54,55,46,52,2,"786,665,264",606,"[('Senegal', '7374'), ('Spain', '5083'), ('Nigeria', '4312')]","[('Senegal', '98366'), ('Guinea', '33489'), ('Guinea-Bissau', '10281')]"
Georgia,7/1/2000,453,,"194,741",1,33,45,7,"4,418,300","2,328,444",12,75,68,72,22,66,12,"3,057,453,461",692,"[('Russian Federation', '628973'), ('Israel', '86254'), ('Germany', '75104')]","[('Russian Federation', '119977'), ('Ukraine', '41382'), ('Armenia', '23674')]"
Germany,7/1/2000,"74,388",,"48,202,000",30,5,"2,366",10,"82,211,508","60,096,612",9,81,75,78,16,68,16,"1,886,401,326,700","22,946","[('United States', '1250815'), ('United Kingdom', '338110'), ('Turkey', '272995')]","[('Turkey', '2008979'), ('Poland', '1999975'), ('Russian Federation', '978793')]"
Ghana,7/1/2000,83,,"130,045",0,99,18,7,"19,165,490","8,432,816",34,59,58,58,41,56,3,"4,977,488,790",260,"[('Nigeria', '123169'), (""Cote d'Ivoire"", '75072'), ('United States', '68432')]","[('Togo', '40506'), ('Burkina Faso', '31964'), ('Mauritania', '28145')]"
Greece,7/1/2000,"1,583",,"5,932,403",9,8,918,8,"10,917,482","6,517,737",12,81,75,78,15,68,17,"124,418,164,455","11,396","[('Germany', '367554'), ('United States', '179950'), ('Australia', '115342')]","[('Albania', '420838'), ('Bulgaria', '33726'), ('Georgia', '21977')]"
Greenland,7/1/2000,,,"15,114",32,,,,"56,200","45,859",16,69,63,66,,,,"1,068,024,994","19,004","[('Denmark', '11934'), ('France', '1760'), ('Guatemala', '248')]","[('Denmark', '6808'), ('Faeroe Islands', '182'), ('Mexico', '43')]"
Grenada,7/1/2000,,,"4,300",4,15,259,6,"101,522","31,472",19,75,72,73,35,57,8,"519,753,000","5,120","[('United States', '27847'), ('Trinidad and Tobago', '11335'), ('Canada', '8755')]","[('Trinidad and Tobago', '3072'), ('United States', '1317'), ('St. Vincent and the Grenadines', '605')]"
Guam,7/1/2000,,,"27,200",16,,,,"155,147","144,442",22,77,72,74,30,64,5,,,"[('United States', '47896'), ('Northern Mariana Islands', '1607'), ('Philippines', '1016')]","[('Philippines', '32675'), ('United States', '19125'), ('Micronesia, Fed. Sts.', '6994')]"
Guatemala,7/1/2000,,,"856,831",1,49,95,6,"11,237,101","5,067,933",37,71,64,68,44,52,4,"19,290,566,570","1,717","[('United States', '489507'), ('Mexico', '24148'), ('Belize', '14672')]","[('El Salvador', '11854'), ('Mexico', '10901'), ('Nicaragua', '5321')]"
Guinea,7/1/2000,,,"42,112",0,175,19,5,"8,344,486","2,586,791",42,50,47,48,44,52,3,"3,112,362,568",373,"[(""Cote d'Ivoire"", '129807'), ('Senegal', '74213'), ('Sierra Leone', '58908')]","[('Liberia', '117820'), ('Sierra Leone', '97669'), ('Mali', '9945')]"
Guinea-Bissau,7/1/2000,,,0,0,177,10,6,"1,240,655","368,475",42,46,44,45,43,54,3,"215,455,490",174,"[('Senegal', '42094'), ('Gambia, The', '10281'), ('Nigeria', '3206')]","[('Senegal', '6407'), ('Guinea', '3547'), ('Gambia, The', '513')]"
Guyana,7/1/2000,,,"39,830",7,47,51,5,"733,101","209,667",21,68,61,64,36,60,5,"712,667,925",972,"[('United States', '219060'), ('Canada', '82057'), ('Suriname', '7919')]","[('Suriname', '2245'), ('Brazil', '1042'), ('Venezuela, RB', '1025')]"
Haiti,7/1/2000,,,"55,000",0,109,26,6,"8,645,371","3,077,752",31,60,57,58,40,56,4,"3,664,503,846",424,"[('United States', '435259'), ('Dominican Republic', '228274'), ('Canada', '52606')]","[('Dominican Republic', '12882'), ('Cuba', '5379'), ('United States', '3046')]"
Honduras,7/1/2000,,,"155,271",1,37,62,5,"6,218,151","2,760,859",32,73,68,70,42,54,4,"7,105,541,205","1,143","[('United States', '288779'), ('Nicaragua', '10960'), ('El Salvador', '8802')]","[('El Salvador', '6644'), ('Nicaragua', '5713'), ('United States', '4946')]"
"Hong Kong SAR, China",7/1/2000,,,"5,447,346",28,,,,"6,665,000","6,665,000",8,84,78,81,17,72,11,"169,121,013,113","25,374","[('Canada', '234201'), ('United States', '207845'), ('United Kingdom', '143805')]","[('China', '2164744'), ('Malaysia', '70681'), ('Macao SAR, China', '69229')]"
Hungary,7/1/2000,"7,052",,"3,076,279",7,11,326,7,"10,210,971","6,596,287",10,76,67,71,17,68,15,"46,385,589,534","4,543","[('United States', '93543'), ('Germany', '71830'), ('Canada', '49398')]","[('Romania', '133077'), ('Serbia and Montenegro', '31051'), ('Germany', '16733')]"
Iceland,7/1/2000,,,"214,896",44,4,"2,996",10,"281,205","259,271",14,82,78,80,23,65,12,"8,697,298,234","30,929","[('Germany', '6984'), ('Denmark', '5750'), ('Norway', '3860')]","[('Denmark', '2306'), ('Sweden', '1549'), ('Poland', '1493')]"
India,7/1/2000,"430,666",,"3,577,095",1,86,21,5,"1,053,898,107","291,929,776",26,63,61,62,35,61,4,"474,691,627,708",450,"[('Pakistan', '2512906'), ('United States', '1041320'), ('Saudi Arabia', '1007649')]","[('Bangladesh', '3789377'), ('Pakistan', '1331659'), ('Nepal', '649166')]"
Indonesia,7/1/2000,,,"3,669,327",1,54,16,2,"213,395,411","89,626,073",21,67,64,66,31,65,5,"165,021,012,262",773,"[('Malaysia', '885328'), ('Saudi Arabia', '286600'), ('Netherlands', '155137')]","[('China', '81323'), ('Taiwan, China', '11058'), ('United Kingdom', '8517')]"
"Iran, Islamic Rep.",7/1/2000,"7,119",,"962,595",1,44,226,5,"65,342,319","41,949,769",19,71,69,70,35,61,4,"101,286,514,977","1,550","[('United States', '294355'), ('Germany', '108486'), ('United Arab Emirates', '76907')]","[('Afghanistan', '762129'), ('Iraq', '169650'), ('Pakistan', '8372')]"
Iraq,7/1/2000,,,0,,43,16,1,"24,313,641","16,484,649",38,73,68,71,43,53,4,"25,857,106,736","1,063","[('Iran, Islamic Rep.', '169650'), ('Kuwait', '159233'), ('United States', '93991')]","[('Kuwait', '8301'), ('Egypt, Arab Rep.', '2510'), ('Iran, Islamic Rep.', '1923')]"
