Country Name,Date,"Transit: Railways, (million passenger-km)","Transit: Passenger cars (per 1,000 people)",Business: Mobile phone subscribers,Business: Internet users (per 100 people),"Health: Mortality, under-5 (per 1,000 live births)",Health: Health expenditure per capita (current US$),"Health: Health expenditure, total (% GDP)",Population: Total (count),Population: Urban (count),"Population:: Birth rate, crude (per 1,000)","Health: Life expectancy at birth, female (years)","Health: Life expectancy at birth, male (years)","Health: Life expectancy at birth, total (years)",Population: Ages 0-14 (% of total),Population: Ages 15-64 (% of total),Population: Ages 65+ (% of total),Finance: GDP (current US$),Finance: GDP per capita (current US$),Destinations,Sources
"Korea, Rep.",7/1/2000,"28,097",,"26,816,398",44,6,543,5,"47,008,000","37,418,368",13,80,72,76,21,72,7,"533,384,027,729","11,347","[('United States', '896982'), ('Japan', '685943'), ('Canada', '80541')]","[('Korea, Dem. Rep.', '431629'), ('China', '48165'), ('Japan', '13517')]"
Kosovo,7/1/2000,,,,,,,,"1,700,000",,23,70,66,68,,,,"1,849,196,082","1,088","[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]","[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]"
Kuwait,7/1/2000,,,"476,000",7,13,438,3,"1,940,786","1,905,852",22,75,73,74,27,70,3,"37,718,011,469","19,434","[('West Bank and Gaza', '156362'), ('Saudi Arabia', '101301'), ('United States', '22703')]","[('Jordan', '434725'), ('Iraq', '159233'), ('Egypt, Arab Rep.', '114162')]"
Kyrgyz Republic,7/1/2000,,,"9,000",1,52,13,5,"4,898,400","1,734,034",20,72,65,69,35,60,5,"1,369,691,955",280,"[('Russian Federation', '463521'), ('Kazakhstan', '73813'), ('Uzbekistan', '64926')]","[('Russian Federation', '167792'), ('Kazakhstan', '86404'), ('Uzbekistan', '67084')]"
Lao PDR,7/1/2000,,,"12,681",0,88,10,3,"5,317,060","1,169,753",30,63,60,61,42,54,4,"1,731,198,022",326,"[('United States', '213399'), ('Thailand', '46108'), ('Germany', '34298')]","[('Vietnam', '13401'), ('China', '3991'), ('Thailand', '2203')]"
Latvia,7/1/2000,715,,"401,272",6,17,198,6,"2,372,985","1,616,003",9,76,65,70,18,67,16,"7,833,068,425","3,301","[('Russian Federation', '102518'), ('United States', '69779'), ('Germany', '56469')]","[('Russian Federation', '238521'), ('Belarus', '79328'), ('Ukraine', '53535')]"
Lebanon,7/1/2000,,,"743,000",8,29,488,11,"3,742,329","3,218,403",20,73,69,71,30,63,7,"17,260,364,842","4,612","[('United States', '113215'), ('Kuwait', '76410'), ('Australia', '70359')]","[('Egypt, Arab Rep.', '37538'), ('India', '35326'), ('Afghanistan', '23718')]"
Lesotho,7/1/2000,,,"21,600",0,127,28,7,"1,963,878","392,776",32,48,47,48,41,54,4,"745,832,990",380,"[('South Africa', '114095'), ('Malawi', '30454'), ('Mozambique', '19502')]","[('South Africa', '3140'), ('Australia', '913'), ('New Zealand', '354')]"
Liberia,7/1/2000,,,"1,500",0,169,19,9,"2,847,290","1,546,078",43,47,45,46,44,54,3,"529,064,647",186,"[('Guinea', '117820'), (""Cote d'Ivoire"", '44023'), ('United States', '42949')]","[('Guinea', '40011'), ('Ghana', '12790'), ('Sierra Leone', '9774')]"
Libya,7/1/2000,,,"40,000",0,27,212,3,"5,231,189","3,996,628",24,75,70,73,32,64,3,"33,896,600,871","6,480","[('United States', '35552'), ('Israel', '21830'), ('Sudan', '18928')]","[('Egypt, Arab Rep.', '318394'), ('Tunisia', '67943'), ('West Bank and Gaza', '45111')]"
Liechtenstein,7/1/2000,,,"10,000",37,6,,,"32,853","4,961",13,,,,,,,"2,483,890,594","75,606","[('Germany', '1756'), ('Switzerland', '1713'), ('Austria', '515')]","[('Switzerland', '4097'), ('Austria', '2132'), ('Germany', '1077')]"
Lithuania,7/1/2000,611,,"524,000",6,12,213,6,"3,499,536","2,344,689",10,78,67,72,20,66,14,"11,434,200,000","3,267","[('Germany', '126069'), ('Russian Federation', '86199'), ('Poland', '85576')]","[('Russian Federation', '95737'), ('Belarus', '56314'), ('Ukraine', '20225')]"
Luxembourg,7/1/2000,,,"303,274",23,5,"3,438",7,"436,300","365,619",13,81,75,78,19,67,14,"20,269,578,036","46,458","[('Germany', '6075'), ('Belgium', '4448'), ('Portugal', '3477')]","[('Portugal', '41352'), ('France', '18733'), ('Belgium', '14687')]"
"Macao SAR, China",7/1/2000,,,"141,052",14,,,,"431,867","431,867",9,81,76,79,23,70,7,"6,101,794,939","14,129","[('Hong Kong SAR, China', '69229'), ('Canada', '6680'), ('China', '6005')]","[('China', '203877'), ('Hong Kong SAR, China', '14212'), ('Korea, Dem. Rep.', '10084')]"
"Macedonia, FYR",7/1/2000,176,,"115,748",2,16,159,9,"2,009,091","1,263,718",13,75,71,73,22,68,10,"3,586,883,989","1,785","[('Switzerland', '58224'), ('Germany', '54994'), ('Italy', '44657')]","[('Greece', '18800'), ('Germany', '14480'), ('Poland', '8269')]"
Madagascar,7/1/2000,,,"63,094",0,102,9,4,"15,364,272","4,163,718",41,61,58,60,45,52,3,"3,877,575,177",252,"[('United Kingdom', '31476'), ('Comoros', '11403'), ('United States', '3522')]","[('France', '13633'), ('Comoros', '7378'), ('India', '5878')]"
Malawi,7/1/2000,27,,"49,000",0,167,9,6,"11,228,756","1,706,771",44,46,46,46,46,51,3,"1,743,506,520",155,"[('Zimbabwe', '142229'), ('South Africa', '26143'), ('Zambia', '15551')]","[('Mozambique', '110451'), ('Zimbabwe', '57580'), ('Lesotho', '30454')]"
Malaysia,7/1/2000,"1,312",,"5,121,748",21,11,128,3,"23,414,909","14,517,244",24,74,70,72,33,63,4,"93,789,736,842","4,006","[('Singapore', '725607'), ('Australia', '77737'), ('Hong Kong SAR, China', '70681')]","[('Indonesia', '885328'), ('Philippines', '175740'), ('Bangladesh', '77856')]"
Maldives,7/1/2000,,,"7,638",2,47,200,9,"273,236","75,686",22,71,70,70,40,56,4,"624,337,144","2,285","[('India', '240'), ('Australia', '170'), ('New Zealand', '38')]","[('Bangladesh', '1664'), ('Pakistan', '592'), ('Nepal', '285')]"
Mali,7/1/2000,204,,"10,398",0,213,16,6,"11,295,324","3,151,395",49,48,46,47,47,50,3,"2,422,469,641",214,"[(""Cote d'Ivoire"", '444425'), ('Nigeria', '90128'), ('Burkina Faso', '64438')]","[(""Cote d'Ivoire"", '74193'), ('Burkina Faso', '21397'), ('Guinea', '15563')]"
Malta,7/1/2000,,,"114,444",14,8,640,7,"381,363","352,379",11,80,76,78,20,68,11,"3,957,418,083","10,377","[('Australia', '46557'), ('France', '9528'), ('Canada', '9255')]","[('United Kingdom', '4361'), ('Australia', '682'), ('Italy', '503')]"
Marshall Islands,7/1/2000,,,447,2,37,418,20,"52,145","35,667",,68,63,65,,,,"110,937,729","2,127","[('United States', '5161'), ('Micronesia, Fed. Sts.', '311'), ('Northern Mariana Islands', '131')]","[('United Kingdom', '796'), ('New Zealand', '170'), ('Australia', '168')]"
Mauritania,7/1/2000,,,"15,300",0,116,16,4,"2,642,743","1,057,097",37,59,55,57,43,55,3,"1,293,653,473",490,"[('Ghana', '28145'), ('Senegal', '22780'), ('Nigeria', '11938')]","[('Senegal', '40517'), ('Mali', '8043'), ('Guinea', '3262')]"
Mauritius,7/1/2000,,,"180,000",7,19,145,4,"1,186,873","506,795",17,75,68,72,27,68,6,"4,582,562,398","3,861","[('United Kingdom', '23919'), ('Australia', '16958'), ('Italy', '10572')]","[('China', '19986'), ('India', '8185'), ('France', '2479')]"
Mexico,7/1/2000,82,,"14,077,880",5,29,324,5,"99,959,594","74,669,817",23,77,72,74,33,62,5,"581,426,421,971","5,817","[('United States', '9367910'), ('Canada', '42939'), ('Russian Federation', '25104')]","[('United States', '350626'), ('Guatemala', '24148'), ('Spain', '21133')]"
"Micronesia, Fed. Sts.",7/1/2000,,,0,4,49,170,8,"107,103","23,884",30,68,67,67,40,56,4,"233,611,434","2,181","[('Guam', '6994'), ('Northern Mariana Islands', '2218'), ('Philippines', '1768')]","[('Philippines', '647'), ('United States', '629'), ('China', '397')]"
Moldova,7/1/2000,,,"139,000",1,26,22,6,"3,639,588","1,623,256",12,71,63,67,24,66,10,"1,288,420,223",354,"[('Russian Federation', '277527'), ('Ukraine', '165126'), ('Romania', '39157')]","[('Ukraine', '218596'), ('Russian Federation', '203909'), ('Kazakhstan', '17294')]"
Monaco,7/1/2000,,,,,5,"2,673",3,"35,126","35,126",,,,,,,,"2,647,883,820","75,382","[('France', '1097'), ('Thailand', '325'), ('Germany', '222')]","[('France', '7135'), ('Poland', '2306'), ('Algeria', '1000')]"
Mongolia,7/1/2000,"1,070",,"154,600",1,61,22,5,"2,411,369","1,364,835",20,66,60,63,35,61,4,"1,136,896,162",471,"[('Hungary', '1416'), ('Czech Republic', '572'), ('Switzerland', '329')]","[('Russian Federation', '3367'), ('China', '2442'), ('Kazakhstan', '646')]"
Montenegro,7/1/2000,,,,,13,112,8,"632,606","370,075",14,78,72,75,22,68,10,"984,279,596","1,556","[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]","[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]"
Morocco,7/1/2000,"1,956",,"2,342,000",1,55,54,4,"28,793,236","15,346,795",22,71,67,69,34,62,5,"37,020,609,825","1,272","[('Italy', '286498'), ('France', '262462'), ('Spain', '253173')]","[('France', '24973'), ('Algeria', '13233'), ('Spain', '13040')]"
Mozambique,7/1/2000,,,"51,065",0,177,14,6,"18,200,656","5,587,601",44,49,46,47,44,53,3,"4,248,747,769",233,"[('South Africa', '264572'), ('Malawi', '110451'), ('Zimbabwe', '95036')]","[('South Africa', '159113'), ('Zimbabwe', '46688'), ('Portugal', '35888')]"
Myanmar,7/1/2000,,,"13,397",,87,3,2,"44,957,660","12,588,145",21,63,61,62,31,64,5,,,"[('Thailand', '171759'), ('India', '60627'), ('United States', '35623')]","[('China', '45384'), ('India', '35178'), ('Pakistan', '3501')]"
Namibia,7/1/2000,,,"82,000",2,74,131,6,"1,895,839","614,252",31,59,57,58,40,56,3,"3,908,501,441","2,062","[('South Africa', '44473'), ('Malawi', '8155'), ('Zambia', '2023')]","[('Angola', '52200'), ('South Africa', '27234'), ('Zambia', '9717')]"
Nepal,7/1/2000,,,"10,226",0,84,12,5,"24,400,606","3,269,681",33,62,61,62,41,55,4,"5,494,252,208",225,"[('India', '649166'), ('Pakistan', '34515'), ('Thailand', '21350')]","[('India', '563571'), ('Pakistan', '15925'), ('Bhutan', '2362')]"
Netherlands,7/1/2000,"14,760",,"10,755,000",44,6,"1,909",8,"15,925,513","12,230,794",13,81,76,78,19,68,14,"385,074,626,866","24,180","[('Canada', '115944'), ('Germany', '112253'), ('United States', '106397')]","[('Suriname', '178273'), ('Turkey', '176306'), ('Indonesia', '155137')]"
New Caledonia,7/1/2000,,,"49,948",14,,,,"213,230","131,989",21,78,72,75,29,65,6,"2,682,347,064","12,580","[('France', '9450'), ('Reunion', '5596'), ('French Polynesia', '2934')]","[('France', '24944'), ('Wallis and Futuna', '7165'), ('Vanuatu', '4064')]"
New Zealand,7/1/2000,,,"1,542,000",47,7,"1,055",8,"3,857,800","3,306,135",15,81,76,79,23,66,12,"51,599,748,518","13,375","[('Australia', '350498'), ('United Kingdom', '60530'), ('United States', '26771')]","[('United Kingdom', '221729'), ('Australia', '56375'), ('Samoa', '46795')]"
Nicaragua,7/1/2000,,,"90,294",1,43,54,7,"5,073,704","2,775,316",28,72,67,70,41,55,4,"3,936,327,817",776,"[('United States', '229386'), ('Costa Rica', '226582'), ('Canada', '9279')]","[('Honduras', '10960'), ('Costa Rica', '5469'), ('United States', '3416')]"
Niger,7/1/2000,,,"2,056",0,218,5,4,"10,922,421","1,769,432",52,49,48,48,48,49,2,"1,798,365,123",165,"[('Nigeria', '58115'), (""Cote d'Ivoire"", '57705'), ('Benin', '45137')]","[('Mali', '58083'), ('Burkina Faso', '27134'), ('Nigeria', '24758')]"
Nigeria,7/1/2000,363,,"30,000",0,186,17,5,"123,688,536","52,567,628",42,47,45,46,43,54,3,"45,983,449,593",372,"[('United States', '141571'), ('United Kingdom', '106221'), ('Cameroon', '72187')]","[('Benin', '157826'), ('Ghana', '123169'), ('Mali', '90128')]"
Northern Mariana Islands,7/1/2000,,,"3,000",,,,,"68,432","61,726",,,,,,,,,,"[('United States', '7711'), ('Guam', '2186'), ('Palau', '214')]","[('Philippines', '15986'), ('China', '15754'), ('United States', '2269')]"
Norway,7/1/2000,,,"3,224,000",27,5,"3,146",8,"4,490,967","3,417,626",13,81,76,79,20,65,15,"168,288,531,891","37,473","[('Sweden', '42012'), ('Germany', '41266'), ('United States', '38323')]","[('Sweden', '34109'), ('Denmark', '22173'), ('United States', '15273')]"
Oman,7/1/2000,,,"162,000",4,22,249,3,"2,264,163","1,621,141",24,75,73,74,37,61,2,"19,867,880,550","8,775","[('United Arab Emirates', '116710'), ('West Bank and Gaza', '90518'), ('Kuwait', '39307')]","[('India', '312053'), ('Bangladesh', '102360'), ('Pakistan', '73001')]"
Pakistan,7/1/2000,"18,495",,"306,493",,101,15,3,"144,522,192","47,981,368",31,64,62,63,41,55,4,"73,952,374,970",512,"[('India', '1331659'), ('Saudi Arabia', '638606'), ('United Arab Emirates', '569556')]","[('India', '2512906'), ('Bangladesh', '48910'), ('Nepal', '34515')]"
Palau,7/1/2000,,,,,25,660,11,"19,172","13,401",15,75,67,70,,,,"119,863,000","6,252","[('United States', '9066'), ('Philippines', '3135'), ('Thailand', '2274')]","[('Philippines', '2887'), ('China', '1040'), ('United States', '515')]"
Panama,7/1/2000,,,"410,401",7,26,306,8,"2,956,126","1,945,131",23,77,72,74,32,63,6,"11,620,500,000","3,931","[('United States', '146882'), ('Costa Rica', '10279'), ('Canada', '2483')]","[('Colombia', '21845'), ('China', '9433'), ('Dominican Republic', '5962')]"
Papua New Guinea,7/1/2000,,,"8,560",1,74,26,4,"5,378,824","710,005",35,61,57,59,40,57,2,"3,521,348,155",655,"[('Australia', '23266'), ('United States', '9189'), ('Solomon Islands', '1573')]","[('Australia', '8463'), ('United Kingdom', '2504'), ('New Zealand', '1897')]"
Paraguay,7/1/2000,,,"820,810",1,35,122,9,"5,343,539","2,954,977",28,72,68,70,38,57,4,"7,071,265,939","1,323","[('Argentina', '331688'), ('Brazil', '28828'), ('United States', '13715')]","[('Brazil', '82987'), ('Argentina', '64284'), ('Uruguay', '3305')]"
Peru,7/1/2000,,,"1,273,857",3,41,96,5,"25,861,887","18,284,354",24,73,68,70,34,61,5,"53,290,390,318","2,061","[('United States', '285925'), ('Argentina', '91182'), ('Italy', '46851')]","[('United States', '4829'), ('Chile', '4033'), ('Argentina', '3586')]"
Philippines,7/1/2000,171,,"6,454,359",2,40,33,3,"77,309,965","45,226,330",30,70,64,67,39,58,3,"81,026,294,681","1,048","[('United States', '1505820'), ('Saudi Arabia', '369850'), ('Canada', '233010')]","[('China', '125278'), ('United States', '36157'), ('United Kingdom', '32865')]"
Poland,7/1/2000,"24,226",,"6,747,000",7,10,247,6,"38,453,757","23,725,968",10,78,70,74,19,68,12,"171,276,118,424","4,454","[('Germany', '1999975'), ('France', '800387'), ('United States', '490599')]","[('Ukraine', '331462'), ('Belarus', '113204'), ('Germany', '108175')]"
Portugal,7/1/2000,"3,632",,"6,664,951",17,7,967,9,"10,225,836","5,562,855",12,80,73,76,16,68,16,"117,299,520,914","11,471","[('Brazil', '212917'), ('United States', '212370'), ('Canada', '151562')]","[('Angola', '167578'), ('France', '93565'), ('Mozambique', '74227')]"
Puerto Rico,7/1/2000,,,"1,318,099",10,,,,"3,810,605","3,604,832",16,81,73,77,24,65,11,"61,701,800,000","16,192","[('United States', '1455095'), ('Dominican Republic', '10690'), ('Russian Federation', '7564')]","[('United States', '243628'), ('France', '14326'), ('Haiti', '12809')]"
Qatar,7/1/2000,,,"120,856",5,13,659,2,"590,957","560,818",19,76,76,76,26,72,2,"17,759,889,598","30,053","[('Canada', '1083'), ('West Bank and Gaza', '1052'), ('Kuwait', '338')]","[('Egypt, Arab Rep.', '56093'), ('India', '52788'), ('Afghanistan', '35442')]"
Romania,7/1/2000,"11,632",,"2,499,000",4,27,87,5,"22,442,971","12,006,989",10,75,68,71,18,68,13,"37,052,636,395","1,651","[('Germany', '324085'), ('United States', '140085'), ('Israel', '139278')]","[('Moldova', '39157'), ('Bulgaria', '19786'), ('Ukraine', '15114')]"
Russian Federation,7/1/2000,"167,100",,"3,263,200",2,23,96,5,"146,303,000","107,386,402",9,72,59,65,18,69,12,"259,708,496,267","1,775","[('Ukraine', '3613240'), ('Kazakhstan', '1931909'), ('Germany', '978793')]","[('Ukraine', '3559975'), ('Kazakhstan', '2584955'), ('Belarus', '935782')]"
Rwanda,7/1/2000,,,"39,000",0,177,9,4,"8,098,344","1,117,571",40,47,46,47,45,52,3,"1,734,921,293",214,"[('Uganda', '65400'), ('Sudan', '60380'), ('Burundi', '29159')]","[('Congo, Dem. Rep.', '288278'), ('Burundi', '34616'), ('Uganda', '16028')]"
Samoa,7/1/2000,,,"2,500",1,23,73,6,"176,549","38,664",32,73,66,69,41,55,4,"245,617,503","1,391","[('New Zealand', '46795'), ('American Samoa', '17777'), ('United States', '17467')]","[('American Samoa', '1920'), ('New Zealand', '1803'), ('United States', '444')]"
San Marino,7/1/2000,,,"14,503",49,5,"2,150",8,"26,967","25,187",,84,77,81,,,,"773,907,642","28,698","[('Italy', '3115'), ('Germany', '401'), ('Switzerland', '33')]","[('United States', '3730'), ('France', '1066'), ('Belgium', '799')]"
Sao Tome and Principe,7/1/2000,,,0,5,87,61,11,"141,010","75,299",35,64,61,62,43,53,4,,,"[('Portugal', '12267'), ('Angola', '5915'), ('Cape Verde', '3433')]","[('Cape Verde', '3607'), ('Angola', '940'), ('Portugal', '261')]"
Saudi Arabia,7/1/2000,288,,"1,375,881",2,26,386,4,"20,045,276","15,996,130",27,73,70,71,39,58,3,"188,441,864,875","9,401","[('West Bank and Gaza', '86899'), ('Kuwait', '33493'), ('United States', '27946')]","[('India', '1007649'), ('Egypt, Arab Rep.', '980205'), ('Pakistan', '638606')]"
Senegal,7/1/2000,138,,"250,251",0,119,20,4,"9,505,862","3,859,380",40,57,55,56,45,52,3,"4,691,828,357",494,"[('Gambia, The', '98366'), ('Italy', '49590'), ('Mauritania', '40517')]","[('Guinea', '74213'), ('Guinea-Bissau', '42094'), ('Mauritania', '22780')]"
Serbia,7/1/2000,"1,387",,,,13,44,7,"7,516,346","3,840,853",10,75,70,72,20,66,14,"6,082,791,506",809,"[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]","[('Afghanistan', '0'), ('Albania', '0'), ('Algeria', '0')]"
Seychelles,7/1/2000,,,"25,961",7,14,402,5,"81,131","41,377",19,,,,,,,"614,879,765","7,579","[('United States', '2572'), ('Australia', '2438'), ('United Kingdom', '1434')]","[('India', '1650'), ('Sri Lanka', '924'), ('United Kingdom', '536')]"
Sierra Leone,7/1/2000,,,"11,940",0,233,22,15,"4,143,115","1,470,806",44,41,39,40,42,56,2,"635,876,870",153,"[('Guinea', '97669'), ('United States', '22044'), ('Liberia', '9774')]","[('Guinea', '58908'), ('Liberia', '21026'), ('Gambia, The', '2386')]"
Singapore,7/1/2000,,,"2,747,400",35,4,648,3,"4,027,900","4,027,900",12,80,76,78,21,71,7,"95,922,652,586","23,815","[('Hong Kong SAR, China', '68886'), ('Malaysia', '65444'), ('United Kingdom', '40985')]","[('Malaysia', '725607'), ('China', '348383'), ('India', '105187')]"
Sint Maarten (Dutch part),7/1/2000,,,,,,,,"30,519",,,,,,,,,,,[],[]
Slovak Republic,7/1/2000,"2,870",,"1,243,736",9,12,249,7,"5,388,720","3,033,849",10,77,69,73,20,69,11,"28,724,041,828","5,330","[('Czech Republic', '287874'), ('Germany', '118829'), ('France', '58839')]","[('Czech Republic', '74910'), ('Hungary', '17138'), ('Ukraine', '7468')]"
Slovenia,7/1/2000,705,,"1,215,601",15,5,829,8,"1,988,925","1,010,374",9,79,72,75,16,70,14,"19,979,467,790","10,045","[('Croatia', '22177'), ('Germany', '21893'), ('Austria', '9722')]","[('Bosnia and Herzegovina', '69279'), ('Croatia', '48609'), ('Serbia and Montenegro', '26951')]"
Solomon Islands,7/1/2000,,,"1,151",0,35,42,5,"408,732","64,171",35,64,62,63,42,55,3,"435,101,217","1,065","[('Australia', '1307'), ('New Zealand', '497'), ('United States', '360')]","[('Papua New Guinea', '1573'), ('Kiribati', '1404'), ('Australia', '512')]"
Somalia,7/1/2000,,,"80,000",0,180,,,"7,399,033","2,456,479",46,50,47,48,44,53,3,,,"[('Ethiopia', '101938'), ('Djibouti', '41968'), ('United States', '36762')]","[('Uganda', '5474'), ('Sudan', '3197'), ('Congo, Dem. Rep.', '2561')]"
South Africa,7/1/2000,"11,890",,"8,339,000",5,78,251,8,"44,000,000","25,036,000",25,57,52,55,34,63,4,"132,877,648,091","3,020","[('Mozambique', '159113'), ('United Kingdom', '143298'), ('Australia', '79021')]","[('Mozambique', '264572'), ('Zimbabwe', '129558'), ('United Kingdom', '126343')]"
South Sudan,7/1/2000,,,,,,,,"6,631,346",,,,,,,,,,,[],[]
Spain,7/1/2000,"19,784",,"24,265,059",14,7,"1,030",7,"40,263,216","30,720,834",10,83,76,79,15,68,17,"580,345,494,748","14,414","[('France', '151566'), ('Argentina', '137084'), ('Germany', '133635')]","[('Morocco', '253173'), ('Ecuador', '176212'), ('Colombia', '140748')]"
Sri Lanka,7/1/2000,,,"430,202",1,23,33,4,"19,102,000","2,999,014",18,75,67,71,26,67,6,"16,330,810,304",855,"[('India', '185572'), ('Saudi Arabia', '111001'), ('Canada', '89335')]","[('India', '384789'), ('Bangladesh', '3902'), ('Pakistan', '2310')]"
St. Kitts and Nevis,7/1/2000,,,"1,200",6,16,387,5,"44,286","14,526",,,,,,,,"380,822,121","8,599","[('United States', '11101'), ('Virgin Islands (U.S.)', '7069'), ('Puerto Rico', '3007')]","[('United States', '815'), ('Guyana', '600'), ('Dominican Republic', '368')]"
St. Lucia,7/1/2000,,,"2,500",5,18,244,5,"155,996","43,679",18,74,69,71,32,60,8,"721,059,217","4,622","[('United States', '14151'), ('French Guiana', '12026'), ('Barbados', '3970')]","[('Guyana', '1547'), ('United States', '943'), ('Trinidad and Tobago', '632')]"
St. Martin (French part),7/1/2000,,,,,,,,"28,384",,,,,,,,,,,[],[]
St. Vincent and the Grenadines,7/1/2000,,,"2,361",3,22,176,6,"107,891","47,904",20,73,68,70,31,62,7,"397,447,007","3,684","[('United States', '22249'), ('Canada', '8643'), ('Trinidad and Tobago', '8528')]","[('Trinidad and Tobago', '2138'), ('Guyana', '581'), ('United Kingdom', '554')]"
Sudan,7/1/2000,205,,"23,000",0,114,12,3,"27,556,383","9,947,854",38,59,55,57,42,54,3,"12,366,140,066",362,"[('Saudi Arabia', '198887'), ('Uganda', '149360'), ('Kenya', '48296')]","[('Rwanda', '60380'), ('Congo, Dem. Rep.', '53612'), ('Burundi', '51746')]"
Suriname,7/1/2000,,,"41,048",3,40,152,8,"466,846","336,596",23,71,65,68,31,64,6,"892,164,328","1,911","[('Netherlands', '178273'), ('France', '28022'), ('United Kingdom', '15444')]","[('Guyana', '7919'), ('Netherlands', '7360'), ('Brazil', '4917')]"
Swaziland,7/1/2000,,,"33,000",1,114,78,6,"1,010,787","235,513",33,49,48,49,45,52,3,"1,524,452,437","1,508","[('South Africa', '31891'), ('Malawi', '6994'), ('Mozambique', '3135')]","[('South Africa', '15404'), ('Mozambique', '14943'), ('Zimbabwe', '1025')]"
Sweden,7/1/2000,"6,006",,"6,372,300",46,4,"2,277",8,"8,872,109","7,452,572",10,82,77,80,18,64,17,"247,260,155,858","27,869","[('United States', '55584'), ('Norway', '34109'), ('Finland', '28981')]","[('Finland', '193364'), ('Serbia and Montenegro', '71180'), ('Bosnia and Herzegovina', '50956')]"
Switzerland,7/1/2000,"12,835",,"4,638,519",47,6,"3,519",10,"7,184,250","5,266,055",11,83,77,80,17,67,15,"249,918,732,455","34,787","[('United States', '51605'), ('Spain', '43159'), ('Germany', '38509')]","[('Italy', '336726'), ('Serbia and Montenegro', '223145'), ('Portugal', '148832')]"
Syrian Arab Republic,7/1/2000,187,,"30,000",0,23,57,5,"15,988,534","8,250,084",28,75,73,74,40,56,4,"19,325,894,913","1,209","[('Saudi Arabia', '105266'), ('Kuwait', '101634'), ('United States', '55753')]","[('West Bank and Gaza', '458611'), ('India', '10438'), ('Afghanistan', '9172')]"
Tajikistan,7/1/2000,,,"1,160",0,93,6,5,"6,172,807","1,635,794",31,68,60,64,42,54,4,"860,550,294",139,"[('Russian Federation', '383057'), ('Uzbekistan', '68534'), ('Ukraine', '32386')]","[('Russian Federation', '176029'), ('Uzbekistan', '65152'), ('Ukraine', '32679')]"
Tanzania,7/1/2000,946,,"110,518",0,130,10,4,"34,038,161","7,590,510",42,51,50,50,45,52,3,"10,185,786,171",308,"[('Kenya', '61151'), ('Sudan', '28388'), ('Uganda', '25928')]","[('Burundi', '72272'), ('Mozambique', '44345'), ('Kenya', '31182')]"
Thailand,7/1/2000,"9,935",,"3,056,000",4,18,67,3,"63,155,029","19,641,214",15,76,69,73,24,69,7,"122,725,247,706","1,943","[('United States', '186520'), ('Taiwan, China', '143484'), ('Cambodia', '100363')]","[('China', '224153'), ('Myanmar', '171759'), ('Lao PDR', '46108')]"
Timor-Leste,7/1/2000,,,,,104,32,8,"830,089","201,712",43,57,55,56,49,48,2,"316,200,000",381,"[('Australia', '9250'), ('Portugal', '2442'), ('Philippines', '1648')]","[('Indonesia', '8334'), ('China', '245'), ('Philippines', '172')]"
Togo,7/1/2000,,,"50,000",2,124,16,5,"4,793,504","1,749,629",37,56,53,55,43,54,3,"1,294,243,543",270,"[('Nigeria', '76914'), (""Cote d'Ivoire"", '42108'), ('Ghana', '40506')]","[('Benin', '64427'), ('Ghana', '28291'), ('Nigeria', '18989')]"
Tonga,7/1/2000,,,180,2,20,88,6,"97,935","22,721",28,73,69,71,38,56,6,"188,623,258","1,926","[('New Zealand', '17817'), ('United States', '16694'), ('Australia', '7596')]","[('United Kingdom', '266'), ('Fiji', '203'), ('Samoa', '94')]"
Trinidad and Tobago,7/1/2000,,,"161,860",8,32,244,4,"1,292,058","139,542",15,72,65,68,26,68,6,"8,154,315,708","6,311","[('United States', '207679'), ('Canada', '63625'), ('United Kingdom', '8078')]","[('Grenada', '11335'), ('St. Vincent and the Grenadines', '8528'), ('Guyana', '5355')]"
Tunisia,7/1/2000,"1,257",,"119,165",3,28,122,6,"9,563,500","6,063,259",17,75,71,73,30,64,6,"21,473,261,837","2,245","[('France', '310949'), ('Italy', '75808'), ('Libya', '67943')]","[('Algeria', '15846'), ('Morocco', '7165'), ('France', '3648')]"
Turkey,7/1/2000,"5,832",,"16,133,405",4,43,204,5,"63,627,862","41,167,227",21,72,67,69,31,64,5,"266,567,531,990","4,189","[('Germany', '2008979'), ('Austria', '179638'), ('Netherlands', '176306')]","[('Bulgaria', '480716'), ('Germany', '272995'), ('Serbia and Montenegro', '112537')]"
Turkmenistan,7/1/2000,,,"7,500",0,74,45,4,"4,501,419","2,061,650",23,68,60,64,36,59,4,"2,904,662,605",645,"[('Russian Federation', '175252'), ('Uzbekistan', '42565'), ('Kazakhstan', '33227')]","[('Russian Federation', '128858'), ('Uzbekistan', '27020'), ('Ukraine', '24323')]"
Turks and Caicos Islands,7/1/2000,,,,,,,,"18,873","15,967",,,,,,,,,,"[('Bahamas, The', '2423'), ('Puerto Rico', '1240'), ('United States', '314')]","[('Haiti', '2718'), ('Bahamas, The', '940'), ('United States', '508')]"
